,STATION,Day of Week,ENTRIES
208,175 ST,5,6829.728813559322
209,175 ST,6,5375.542372881356
210,176 ST,0,5089.862068965517
211,176 ST,1,5374.224137931034
212,176 ST,2,5537.258620689655
213,176 ST,3,5458.051724137931
214,176 ST,4,5433.293103448276
215,176 ST,5,3034.0344827586205
216,176 ST,6,2269.1724137931033
217,18 AV,0,11732.322033898305
218,18 AV,1,12336.305084745763
219,18 AV,2,12668.93220338983
220,18 AV,3,12496.881355932202
221,18 AV,4,12194.627118644068
222,18 AV,5,6408.440677966101
223,18 AV,6,5501.067796610169
224,18 ST,0,7108.767241379311
225,18 ST,1,8025.939655172414
226,18 ST,2,8272.120689655172
227,18 ST,3,8372.155172413793
228,18 ST,4,7871.120689655172
229,18 ST,5,3962.387931034483
230,18 ST,6,2919.2758620689656
231,181 ST,0,19644.745762711864
232,181 ST,1,20930.593220338982
233,181 ST,2,21565.322033898305
234,181 ST,3,21614.610169491527
235,181 ST,4,21123.93220338983
236,181 ST,5,12725.898305084746
237,181 ST,6,10450.610169491525
238,182-183 STS,0,4226.474576271186
239,182-183 STS,1,4533.35593220339
240,182-183 STS,2,4593.220338983051
241,182-183 STS,3,4550.661016949152
242,182-183 STS,4,4565.932203389831
243,182-183 STS,5,2753.491525423729
244,182-183 STS,6,2186.669491525424
245,183 ST,0,5124.629310344828
246,183 ST,1,5303.672413793103
247,183 ST,2,5480.336206896552
248,183 ST,3,5436.0344827586205
249,183 ST,4,5411.379310344828
250,183 ST,5,3380.9655172413795
251,183 ST,6,2616.7413793103447
252,190 ST,0,4043.9830508474574
253,190 ST,1,4458.862068965517
254,190 ST,2,4508.0344827586205
255,190 ST,3,4608.771929824561
256,190 ST,4,4388.571428571428
257,190 ST,5,2645.64406779661
258,190 ST,6,2303.228813559322
259,191 ST,0,6841.586206896552
260,191 ST,1,7315.681034482759
261,191 ST,2,7526.1551724137935
262,191 ST,3,7426.551724137931
263,191 ST,4,7269.789473684211
264,191 ST,5,4202.827586206897
265,191 ST,6,3590.310344827586
266,2 AV,0,12348.672413793103
267,2 AV,1,13549.896551724138
268,2 AV,2,14002.706896551725
269,2 AV,3,14248.086206896553
270,2 AV,4,14561.034482758621
271,2 AV,5,9011.810344827587
272,2 AV,6,7702.396551724138
273,20 AV,0,7971.0
274,20 AV,1,8327.64406779661
275,20 AV,2,8426.347457627118
276,20 AV,3,8364.542372881357
277,20 AV,4,8266.033898305084
278,20 AV,5,4370.949152542373
279,20 AV,6,3646.169491525424
280,207 ST,0,5450.4655172413795
281,207 ST,1,5764.105263157895
282,207 ST,2,5895.271929824561
283,207 ST,3,5877.392857142857
284,207 ST,4,5870.830357142857
285,207 ST,5,3594.3275862068967
286,207 ST,6,2926.551724137931
287,21 ST,0,1413.4915254237287
288,21 ST,1,1530.6271186440679
289,21 ST,2,1545.8813559322034
290,21 ST,3,1571.7796610169491
291,21 ST,4,1546.457627118644
292,21 ST,5,749.0847457627119
293,21 ST,6,579.271186440678
294,21 ST-QNSBRIDGE,0,9689.810344827587
295,21 ST-QNSBRIDGE,1,10284.01724137931
296,21 ST-QNSBRIDGE,2,10644.655172413793
297,21 ST-QNSBRIDGE,3,10627.741379310344
298,21 ST-QNSBRIDGE,4,10589.344827586207
299,21 ST-QNSBRIDGE,5,5711.8448275862065
